HotelId,Name,Address1,City,Country,Latitude,Longitude
4110,Resorts Casino Hotel Atlantic City,1133 Boardwalk,Atlantic City,US,39.359509,-74.423133
5595,Golden Nugget,Huron Avenue And Brigantine Blvd,Atlantic City,US,39.378387,-74.42911
